roll_no,department,program,subject,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,debarred
UG/02/BCA/2022/001,cse,BCA,c,81.12,83.43,69.33,85.75,70.11,71.75,66.67,65.42,81.76,79.66,88.39,81.7,1
UG/02/BCA/2022/001,cse,BCA,math,76.2,73.23,79.42,77.77,73.0,67.28,71.43,70.0,80.47,64.78,84.64,77.0,1
UG/02/BCA/2022/001,cse,BCA,web-d,63.64,77.58,68.36,70.92,63.13,71.04,75.9,82.35,75.63,77.19,72.51,60.94,1
UG/02/BCA/2022/001,cse,BCA,dsa,68.25,83.01,62.41,66.11,80.46,72.47,71.27,67.32,74.55,85.82,72.05,77.21,1
UG/02/BCA/2022/002,cse,BCA,c,87.73,94.55,100.0,93.45,95.47,83.52,93.82,93.56,89.83,91.42,78.92,82.47,0
UG/02/BCA/2022/002,cse,BCA,math,95.12,99.38,83.06,90.35,83.17,94.89,97.34,94.85,82.38,92.81,83.03,100.0,0
UG/02/BCA/2022/002,cse,BCA,web-d,89.92,90.4,89.03,83.61,93.48,89.07,79.68,97.59,100.0,89.47,89.14,97.9,0
UG/02/BCA/2022/002,cse,BCA,dsa,94.87,83.12,97.38,77.22,93.54,86.51,88.72,96.89,84.93,85.89,78.3,98.13,0
UG/02/BCA/2022/003,cse,BCA,c,84.19,99.48,88.72,95.45,90.09,99.48,93.29,99.42,97.39,92.12,89.39,95.44,0
UG/02/BCA/2022/003,cse,BCA,math,100.0,78.68,92.55,79.13,87.2,97.94,83.04,98.89,87.56,87.58,98.86,96.47,0
UG/02/BCA/2022/003,cse,BCA,web-d,100.0,78.96,81.57,97.18,94.36,93.51,85.22,89.36,91.43,97.99,82.44,97.21,0
UG/02/BCA/2022/003,cse,BCA,dsa,88.61,83.6,100.0,93.2,88.61,89.06,91.13,100.0,93.18,85.49,90.58,99.18,0
UG/02/BCA/2022/004,cse,BCA,c,81.36,76.81,62.15,63.45,67.61,78.35,68.19,59.85,76.43,88.02,79.55,71.1,1
UG/02/BCA/2022/004,cse,BCA,math,71.63,64.06,91.4,78.74,80.89,62.78,67.47,80.04,75.79,75.72,76.54,83.84,1
